"area_fips","state","city","state_name","city_state","msa_states","msa_cities","area_title"
"C1206","GA","Atlanta","Georgia","Atlanta GA","GA","Roswell","Atlanta-Sandy Springs-Roswell, GA MSA"
"C1206","GA","Atlanta","Georgia","Atlanta GA","GA","Atlanta","Atlanta-Sandy Springs-Roswell, GA MSA"
"C1206","GA","Atlanta","Georgia","Atlanta GA","GA","Sandy Springs","Atlanta-Sandy Springs-Roswell, GA MSA"
"C1242","TX","Austin","Texas","Austin TX","TX","Round Rock","Austin-Round Rock, TX MSA"
"C1242","TX","Austin","Texas","Austin TX","TX","Austin","Austin-Round Rock, TX MSA"
"C1446","MA","Boston","Massachusetts","Boston MA","NH","Newton","Boston-Cambridge-Newton, MA-NH MSA"
"C1446","MA","Boston","Massachusetts","Boston MA","NH","Cambridge","Boston-Cambridge-Newton, MA-NH MSA"
"C1446","MA","Boston","Massachusetts","Boston MA","MA","Boston","Boston-Cambridge-Newton, MA-NH MSA"
"C1446","MA","Boston","Massachusetts","Boston MA","MA","Cambridge","Boston-Cambridge-Newton, MA-NH MSA"
"C1446","MA","Boston","Massachusetts","Boston MA","MA","Newton","Boston-Cambridge-Newton, MA-NH MSA"
"C1446","MA","Boston","Massachusetts","Boston MA","NH","Boston","Boston-Cambridge-Newton, MA-NH MSA"
"C1698","IL","Chicago","Illinois","Chicago IL","WI","Elgin","Chicago-Naperville-Elgin, IL-IN-WI MSA"
"C1698","IL","Chicago","Illinois","Chicago IL","WI","Chicago","Chicago-Naperville-Elgin, IL-IN-WI MSA"
"C1698","IL","Chicago","Illinois","Chicago IL","IN","Chicago","Chicago-Naperville-Elgin, IL-IN-WI MSA"
"C1698","IL","Chicago","Illinois","Chicago IL","WI","Naperville","Chicago-Naperville-Elgin, IL-IN-WI MSA"
"C1698","IL","Chicago","Illinois","Chicago IL","IL","Chicago","Chicago-Naperville-Elgin, IL-IN-WI MSA"
"C1698","IL","Chicago","Illinois","Chicago IL","IL","Elgin","Chicago-Naperville-Elgin, IL-IN-WI MSA"
"C1698","IL","Chicago","Illinois","Chicago IL","IN","Naperville","Chicago-Naperville-Elgin, IL-IN-WI MSA"
"C1698","IL","Chicago","Illinois","Chicago IL","IN","Elgin","Chicago-Naperville-Elgin, IL-IN-WI MSA"
"C1698","IL","Chicago","Illinois","Chicago IL","IL","Naperville","Chicago-Naperville-Elgin, IL-IN-WI MSA"
"C1974","CO","Denver","Colorado","Denver CO","CO","Aurora","Denver-Aurora-Lakewood, CO MSA"
"C1974","CO","Denver","Colorado","Denver CO","CO","Lakewood","Denver-Aurora-Lakewood, CO MSA"
"C1974","CO","Denver","Colorado","Denver CO","CO","Denver","Denver-Aurora-Lakewood, CO MSA"
"C1982","MI","Detroit","Michigan","Detroit MI","MI","Dearborn","Detroit-Warren-Dearborn, MI MSA"
"C1982","MI","Detroit","Michigan","Detroit MI","MI","Warren","Detroit-Warren-Dearborn, MI MSA"
"C1982","MI","Detroit","Michigan","Detroit MI","MI","Detroit","Detroit-Warren-Dearborn, MI MSA"
"C2050","NC","Durham","North Carolina","Durham NC","NC","Chapel Hill","Durham-Chapel Hill, NC MSA"
"C2050","NC","Durham","North Carolina","Durham NC","NC","Durham","Durham-Chapel Hill, NC MSA"
"C3310","FL","Miami","Florida","Miami FL","FL","Fort Lauderdale","Miami-Fort Lauderdale-West Palm Beach, FL MSA"
"C3310","FL","Miami","Florida","Miami FL","FL","West Palm Beach","Miami-Fort Lauderdale-West Palm Beach, FL MSA"
"C3310","FL","Miami","Florida","Miami FL","FL","Miami","Miami-Fort Lauderdale-West Palm Beach, FL MSA"
"C3798","PA","Philadelphia","Pennsylvania","Philadelphia PA","NJ","Camden","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA"
"C3798","PA","Philadelphia","Pennsylvania","Philadelphia PA","DE","Camden","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA"
"C3798","PA","Philadelphia","Pennsylvania","Philadelphia PA","DE","Wilmington","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA"
"C3798","PA","Philadelphia","Pennsylvania","Philadelphia PA","DE","Philadelphia","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA"
"C3798","PA","Philadelphia","Pennsylvania","Philadelphia PA","PA","Wilmington","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA"
"C3798","PA","Philadelphia","Pennsylvania","Philadelphia PA","NJ","Philadelphia","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA"
"C3798","PA","Philadelphia","Pennsylvania","Philadelphia PA","NJ","Wilmington","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA"
"C3798","PA","Philadelphia","Pennsylvania","Philadelphia PA","MD","Philadelphia","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA"
"C3798","PA","Philadelphia","Pennsylvania","Philadelphia PA","MD","Camden","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA"
"C3798","PA","Philadelphia","Pennsylvania","Philadelphia PA","MD","Wilmington","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA"
"C3798","PA","Philadelphia","Pennsylvania","Philadelphia PA","PA","Philadelphia","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA"
"C3798","PA","Philadelphia","Pennsylvania","Philadelphia PA","PA","Camden","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD MSA"
"C3806","AZ","Phoenix","Arizona","Phoenix AZ","AZ","Mesa","Phoenix-Mesa-Scottsdale, AZ MSA"
"C3806","AZ","Phoenix","Arizona","Phoenix AZ","AZ","Phoenix","Phoenix-Mesa-Scottsdale, AZ MSA"
"C3806","AZ","Phoenix","Arizona","Phoenix AZ","AZ","Scottsdale","Phoenix-Mesa-Scottsdale, AZ MSA"
"C3890","OR","Portland","Oregon","Portland OR","OR","Portland","Portland-Vancouver-Hillsboro, OR-WA MSA"
"C3890","OR","Portland","Oregon","Portland OR","OR","Vancouver","Portland-Vancouver-Hillsboro, OR-WA MSA"
"C3890","OR","Portland","Oregon","Portland OR","OR","Hillsboro","Portland-Vancouver-Hillsboro, OR-WA MSA"
"C3890","OR","Portland","Oregon","Portland OR","WA","Vancouver","Portland-Vancouver-Hillsboro, OR-WA MSA"
"C3890","OR","Portland","Oregon","Portland OR","WA","Hillsboro","Portland-Vancouver-Hillsboro, OR-WA MSA"
"C3890","OR","Portland","Oregon","Portland OR","WA","Portland","Portland-Vancouver-Hillsboro, OR-WA MSA"
"C4186","CA","San Francisco","California","San Francisco CA","CA","San Francisco","San Francisco-Oakland-Hayward, CA MSA"
"C4186","CA","San Francisco","California","San Francisco CA","CA","Oakland","San Francisco-Oakland-Hayward, CA MSA"
"C4186","CA","San Francisco","California","San Francisco CA","CA","Hayward","San Francisco-Oakland-Hayward, CA MSA"
"C4266","WA","Seattle","Washington","Seattle WA","WA","Seattle","Seattle-Tacoma-Bellevue, WA MSA"
"C4266","WA","Seattle","Washington","Seattle WA","WA","Tacoma","Seattle-Tacoma-Bellevue, WA MSA"
"C4266","WA","Seattle","Washington","Seattle WA","WA","Bellevue","Seattle-Tacoma-Bellevue, WA MSA"
