"created","description","duration","group_created","group_id","group_join_mode","group_lat","group_lon","group_name","group_urlname","group_who","how_to_find_us","id","link","manual_attendance_count","name","rsvp_close_offset","rsvp_limit","status","time","updated","utc_offset","venue_address_1","venue_city","venue_country","venue_id","venue_lat","venue_localized_country_name","venue_lon","venue_name","venue_repinned","venue_state","venue_zip","visibility","waitlist_count","yes_rsvp_count"
"1494931473000","<p>Graphic processing units (GPUs) are not just for playing games. They play a huge role in accelerating applications that have a large number of parallelizable tasks such as machine learning, data analysis or similar. Learn how Java can exploit the power of GPUs to optimize high-performance computing applications, through both explicit GPU programming and letting the Java JIT compiler transparently off-load work to the GPU.</p> <p><br/>This presentation covers the principles and considerations for GPU programming from Java and looks at the software stack and developer tools available. From laptops to the cloud GPUs are turning up everywhere. After this talk you will be ready to extract the full power of these GPUs from your own application.</p> <p><b>If you are planning to attend, please RSVP here AND register at <a href=""https://skillsmatter.com/meetups/8281-java-the-gpu-all-you-need-to-know"">SkillsMatter</a>.</b></p> <p><br/><img src=""https://secure.meetupstatic.com/photos/event/7/7/c/6/600_461010662.jpeg"" /></p> <p><b>STEVE POOLE</b> is a DevOps practitioner (leading a large team of engineers on cutting edge DevOps exploitation ) and a long time IBM Java developer, leader and evangelist. He’s been working on IBM Java SDKs and JVMs since Java was less than 1. He's also had time to work on other things including representing IBM on various JSRs, being a committer on various open source projects including ones at Apache, Eclipse and OpenJDK. He’s also member of the Adopt OpenJDK group championing community involvement in OpenJDK. Steve is a seasoned speaker and regular presenter at JavaOne and other conferences on technical and software engineering topics.</p> <p>Blog: <a href=""http://noregressions.wordpress.com""><a href=""http://noregressions.wordpress.comBlog"" class=""linkified"">http://noregressions.wordpress.comBlog</a></a></p> <p><br/>18:15  - 18:30  Registration</p> <p>18:30 - 19:15   Java &amp; the GPU - all you need to know  </p> <p><br/>19:15  - 20:00 Drinks and networking</p> <p><b><a href=""http://ibm.biz/IBMCodeUK"">ibm.biz/IBMCodeUK</a></b></p> ","6300000","1374780559000","9516272","open","51.5099983215332","-0.07999999821186066","Big Data Developers in London","Big-Data-Analytics-in-London","Data Mashers","","240025089","https://www.meetup.com/Big-Data-Analytics-in-London/events/240025089/","","Java & the GPU - all you need to know","","","upcoming","1495732500000","1495045723000","3600000","London","EC2M 7EB","gb","24214872","51.51856231689453","United Kingdom","-0.08624500036239624","CodeNode - 10 South Place","False","","","public","0","77"
"1495041814000","<p>We are happy to announce our next Kyiv JUG UA meeting. Our partner EPAM provides everyone with a possibility to join this event <a href=""https://docs.google.com/forms/d/1rG7BoZeI1Gml6mSTZZPa1AiZvK0GL-V-zKjSw-3rhts/"">online.</a></p> <p>Date: May 25, 19:00 – 22:00 (registration from 18:30)<br/>Venue: <a href=""http://olympichall.com.ua/olympic-hall-vokzalnaya.html"">“Olympic Hall – Vokzalnaya”</a>, Vasylia Lypkivskoho St, 3, Kyiv</p> <p><br/><a href=""https://goo.gl/GM6iy5"">Registration</a></p> <p>Agenda:</p> <p><b>How and why to instrument Bytecode in Java apps?</b></p> <p>(Anton Arhipov, Developer Advocate @ ZeroTurnaround, Java Champion)</p> <p><br/><b>Microservices Architecture with Spring Cloud</b></p> <p><br/>(Orkhan Gasimov, @Nextiva)</p> <p>Microservices architecture is a hot topic flying around distributed application development nowadays. There are many tech-stacks bringing in development power to build distributed applications. We will review core concepts of microservice architectures and will see implementation examples using core components from Spring Cloud which is a mature Java framework built on Spring Boot providing set of tools for building distributed applications with microservice approaches out of the box.</p> ","","1455610252000","19577810","open","50.439998626708984","30.520000457763672","Java User Group UA","JUG_UA","Members","","240060678","https://www.meetup.com/JUG_UA/events/240060678/","","Kyiv JUG UA meetup: Bytecode Instrumentation / Spring Cloud","","","upcoming","1495726200000","1495041814000","10800000","str. Vasylya Lypkivskogo (Urytskogo), 3","Kyiv","ua","24804189","50.45009994506836","Ukraine","30.523399353027344","Olympic Hall","False","","","public","0","27"
"1492690651000","<p>NOTE:  THIS MEETUP HAS MOVED FROM MAY 24TH TO MAY 31st AND CHANGED LOCATIONS.  PLEASE ENSURE THAT YOU RSVP AT THE LINK BELOW.</p> <p><br/><b><a href=""https://www.meetup.com/Silicon-Valley-Machine-Learning/events/239145734/""><a href=""https://www.meetup.com/Silicon-Valley-Machine-Learning/events/239145734/"" class=""linkified"">https://www.meetup.com/Silicon-Valley-Machine-Learning/events/239145734/</a></a></b></p> <p>R is the de facto standard for statistics and analysis. In this talk, we introduce R4ML, a new open-source R package for scalable machine learning from IBM. R4ML provides a bridge between R, Apache SystemML and SparkR, allowing R scripts to invoke custom algorithms developed in SystemML's R-like domain specific language. This capability also provides a bridge to the algorithm scripts that ship with Apache SystemML, effectively adding a new library of prebuilt scalable algorithms for R on Apache Spark.  R4ML integrates seamlessly SparkR, so data scientists can use the best features of SparkR and SystemML together in the same script. In addition, the R4ML  package provides a number of useful new scalable R functions that simplify common data cleaning and statistical analysis tasks.</p> <p><br/>This talk will begin with an overview of the R4ML package, its API, supported canned algorithms, and the integration to Spark and SystemML. We will walk through a small example of creating a custom algorithm and a demo of a canned algorithm. We will share our experiences using R4ML technology with IBM clients. The talk will conclude with pointers to how the audience can try out R4ML and discuss potential areas of community collaboration.</p> <p><i><b>Speakers:</b></i><br/><b>Alok Singh</b> is a Principal Engineer at the IBM Spark Technology Center, where he leads the R4ML project. He has built and architected multiple analytical frameworks and implemented various machine learning algorithms. His interest is in creating Big Data and scalable machine learning software and algorithms.</p> <p><b>Fred Reiss</b> is Chief Architect at the IBM Spark Technology Center in San Francisco and is one of the founding employees of the Center. Fred received his Ph.D. from UC Berkeley in 2006, then worked for IBM Research Almaden for the next nine years. At Almaden, Fred worked on the SystemML and SystemT projects, as well as on the research prototype of DB2 with BLU Acceleration. Fred has over 25 peer-reviewed publications and six patents.</p> <p><br/>Drinks and light appetizers will be served.</p> ","9000000","1338938692000","4013112","open","37.18000030517578","-121.75","Big Data Developers","BigDataDevelopers","Members","Visa Building M1 Auditorium","239353477","https://www.meetup.com/BigDataDevelopers/events/239353477/","","Introducing R4ML - A New Open Source R Package for Scalable Machine Learning!","","","upcoming","1496280600000","1494277393000","-25200000","900 Metro Center Blvd","Foster City","us","25229022","37.55925369262695","USA","-122.2763671875"," Visa, Inc   Location: VISA Building M1 Auditorium","False","CA","","public","0","24"
"1492690758000","<p>NOTE:  THIS MEETUP HAS MOVED FROM MAY 24TH TO MAY 31st AND CHANGED LOCATIONS.  PLEASE ENSURE THAT YOU RSVP AT THE LINK BELOW.</p> <p><b><a href=""https://www.meetup.com/Silicon-Valley-Machine-Learning/events/239145734/""><a href=""https://www.meetup.com/Silicon-Valley-Machine-Learning/events/239145734/"" class=""linkified"">https://www.meetup.com/Silicon-Valley-Machine-Learning/events/239145734/</a></a></b></p> <p>R is the de facto standard for statistics and analysis. In this talk, we introduce R4ML, a new open-source R package for scalable machine learning from IBM. R4ML provides a bridge between R, Apache SystemML and SparkR, allowing R scripts to invoke custom algorithms developed in SystemML's R-like domain specific language. This capability also provides a bridge to the algorithm scripts that ship with Apache SystemML, effectively adding a new library of prebuilt scalable algorithms for R on Apache Spark.  R4ML integrates seamlessly SparkR, so data scientists can use the best features of SparkR and SystemML together in the same script. In addition, the R4ML  package provides a number of useful new scalable R functions that simplify common data cleaning and statistical analysis tasks. This talk will begin with an overview of the R4ML package, its API, supported canned algorithms, and the integration to Spark and SystemML. We will walk through a small example of creating a custom algorithm and a demo of a canned algorithm. We will share our experiences using R4ML technology with IBM clients. The talk will conclude with pointers to how the audience can try out R4ML and discuss potential areas of community collaboration.</p> <p><i><b>Speakers:</b></i><br/><b>Alok Singh</b> is a Principal Engineer at the IBM Spark Technology Center, where he leads the R4ML project. He has built and architected multiple analytical frameworks and implemented various machine learning algorithms. His interest is in creating Big Data and scalable machine learning software and algorithms.</p> <p><b>Fred Reiss</b> is Chief Architect at the IBM Spark Technology Center in San Francisco and is one of the founding employees of the Center. Fred received his Ph.D. from UC Berkeley in 2006, then worked for IBM Research Almaden for the next nine years. At Almaden, Fred worked on the SystemML and SystemT projects, as well as on the research prototype of DB2 with BLU Acceleration. Fred has over 25 peer-reviewed publications and six patents.</p> <p>Drinks and light appetizers will be served.</p> ","9000000","1490312019000","22987220","open","37.779998779296875","-122.41999816894531","Big Data Developers in San Francisco","big-data-developers-in-san-francisco","Members","Visa Building M1 Auditorium","239353491","https://www.meetup.com/big-data-developers-in-san-francisco/events/239353491/","","Introducing R4ML - A New Open Source R Package for Scalable Machine Learning!","","","upcoming","1496280600000","1494277382000","-25200000","900 Metro Center Blvd","Foster City","us","25229022","37.55925369262695","USA","-122.2763671875"," Visa, Inc   Location: VISA Building M1 Auditorium","False","CA","","public","0","14"
"1495414538000","<p>A tod(@)s los entusiastas seguidores de los temas y en especial de nuestro meetup:</p> <p><br/><b>Spark, Ciencia de Datos, BigData Analytics y Matemáticas </b></p> <p><a href=""https://www.meetup.com/es/saxsaBigDataMexico""><a href=""https://www.meetup.com/es/saxsaBigDataMexico"" class=""linkified"">https://www.meetup.com/es/saxsaBigDataMexico</a></a></p> <p>Les envío este correo para compartir noticias de gran interés. </p> <p>Les compartimos nuestro próximo taller</p> <p>


<b>Fundamentos de Ciencia de Datos con Spark </b></p> <p><b><br/></b></p> <p><b>Jueves 1 de junio con 8 horas de taller.</b></p> <p>


Y tambien un evento magno de Spark en San Francisco California USA</p> <p>



Estén atentos al evento magno que tendrá lugar en San Francisco los días 5 al 7 de junio Spark Summit 2017 - San Francisco - June 5–7, 2017</p> <p>


Attend the premiere Apache Spark event for next-level training and advice from the most influential speakers in ...</p> <p><a href=""https://spark-summit.org/2017""><a href=""https://spark-summit.org/2017"" class=""linkified"">https://spark-summit.org/2017</a></a></p> <p>En este se llevan a cabo conferencias de los temas que nos interesan, y una gran noticia, se transmite en directo por Internet, sin costo alguno.</p> <p>Se los recomiendo ampliamente.</p> <p>También se lleva a cabo un curso presencial y lamentablemente con costo de 1,000 USA . Training: Data Science with Apache Spark 2.x , 1-day course</p> <p><a href=""https://spark-summit.org/2017/apache-spark-training/#spark-2""><a href=""https://spark-summit.org/2017/apache-spark-training/#spark-2"" class=""linkified"">https://spark-summit.org/2017/apache-spark-training/#spark-2</a></a></p> <p>


PERO $I NO PUEDE A$I$TIR POR $U$ CO$TO$ EN U$A DOLLAR$, NO$OTRO$ EN saXsa LE COMPARTIMOS LOS MISMOS TALLERES Y CONOCIMIENTOS DE SPARK, EN MÉXICO CON INVERSIÓN EN PESOS</p> <p>


El taller esta planeado para el jueves 1 de junio con 8 horas de tecleo, con una CUOTA DE RECUPERACIÓN.</p> <p>


<b>Fundamentos de Ciencia de Datos con Spark </b></p> <p><b>Jueves 1 de junio con 8 horas de taller.</b></p> <p>


En este taller se muestra el uso de Apache Spark y sus bibliotecas para realizar un análisis exploratorio de datos (EDA Exploratory Data Analysis), también conocido como Gobernanza de los Datos (Data governance).</p> <p>Se realizan prácticas con algoritmos de Aprendizaje Automatizado (ML Machine Learning) y realizan aplicaciones con las bibliotecas de DataFrames y ML lib de la Interfaz de Programación de Aplicaciones (API) de Spark.</p> <p>Se analiza el problema de deteccion de Spam y los sistemas de recomendación</p> <p>En el taller se analizan los conceptos que se aplican en los algoritmos paralelizables del Aprendizaje Automatizado que se encuentran en el API ML Spark.</p> <p>Para llevar a cabo los talleres se utilizan conjuntos de datos abiertos de gran volumen y se muestra como se aplica Apache Spark para desarrollar aplicaciones productivas incorporando mecanismos SQL tradicionales de las bases de datos relacionales, pero en una arquitectura de computo distribuido y tolerante a fallas con la biblioteca Spark SQL.</p> <p>Se realizan ejemplos utilizando el lenguaje de programación Python y se ofrece un repaso de las principales estructuras que Spark utiliza para la construcción de aplicaciones autosuficientes.</p> <p>En el despliegue y ambiente interactivo de trabajo se ofrece una plataforma basada en JuPytER, el cuaderno interactivo (I-Notebook) que interactúa directamente al ambiente Spark por medio de la biblioteca Livy server, un servicio de código abierto con protocolo REST para Apache Spark (an Open Source REST Service for Apache Spark)</p> <p>Pre-requisitos: Tener un poco de experiencia básica en algún lenguaje de programación como Python, R, PHP, Perl o Scala.</p> <p>En el taller se realiza un repaso básico o introducción al lenguaje Python y su uso en Spark. Un entendimiento básico de la problemática del Aprendizaje Automatizado.</p> <p>En el taller se realiza una introducción a los conceptos de la Ciencia de Datos en su aspecto Algoritmos del Aprendizaje Automatizado.</p> <p>Los esperamos numerosos</p> <p>


Dr. Gabriel Guerrero</p> <p><img src=""https://secure.meetupstatic.com/photos/event/3/8/e/7/600_461174567.jpeg"" /></p> ","31500000","1461973246000","19898160","open","19.43000030517578","-99.13999938964844","Spark, Ciencia de Datos, BigData Analytics y Matematicas","saxsaBigDataMexico","Cientificos de Datos con Spark","","240170050","https://www.meetup.com/saxsaBigDataMexico/events/240170050/","","taller Machine Learning Ciencia de Datos con Spark 8 horas","","","upcoming","1496329200000","1495414538000","-18000000","","","","","","","","","","","","public","0","9"
"1495041904000","<p><img src=""https://secure.meetupstatic.com/photos/event/e/9/8/9/600_461039785.jpeg"" /></p> <p>Language: English</p> <p><a href=""https://docs.google.com/forms/d/e/1FAIpQLSfV8tTX2kgejg1pdY23irsRyoTrQKVed-HAeTR7BulRHakv7A/"">Registration</a></p> <p><br/>We gladly invite you to the next Java User Group of Ukraine meetup in Kharkiv. At this even we will talk about Object-oriented mistakes in OpenJDK.</p> <p><br/>The speakers is Yegor Bugayenko, who is known due to his non-standar approach and understanding of OOP (language - English).</p> <p><a href=""https://events.epam.com/events/jug-jun1"">More details on this event</a>.</p> ","","1455610252000","19577810","open","50.439998626708984","30.520000457763672","Java User Group UA","JUG_UA","Members","","240060703","https://www.meetup.com/JUG_UA/events/240060703/","","Kharkiv JUG UA meetup: Object-oriented mistakes in OpenJDK","","","upcoming","1496329200000","1495042047000","10800000","Blagoveshchenskaya str. 1","Kharkiv","ua","24891932","49.989158630371094","Ukraine","36.22251892089844","Fabrika Space","False","","","public","0","13"
"1495439094000","<p>Calling out all IT enthusiasts, data science wizards and other data geeks. Join us on June 6th from 5:00pm -20:00pm where we will show you Data Science Experience.</p> <p><a href=""https://youtu.be/1HjzkLRdP5k"" class=""embedded"">https://youtu.be/1HjzkLRdP5k</a></p> <p><b>IBM Data Science Experience (DSX)</b> is an interactive, collaborative, cloud-based environment where data scientists can use multiple tools to activate their insights. Data scientists can use the best of open source, tap into IBM's unique features, grow their capabilities, and share their successes.  </p> <p>One can use Python, R, or Scala in Jupyter Notebooks already connected to Spark. Or use RStudio to deliver the most widely used open-source R statistical computing environment.  </p> <p>In this meetup, we will delve into IBM Data Science Experience, its core capabilities around community, notebooks, maker palette and projects.  We will also look into upcoming Watson Machine Learning for DSX.</p> <p><b>Speakers:</b><br/>Henrik Hammer - Analytics Client Architect,<br/>Peter Stilling - Technical Sales Graduate, IBM</p> <p><br/><b>Agenda</b><br/>5:00 – Welcome</p> <p>5:15 – Introduction and demo session</p> <p>6:45 – Pizza and networking</p> <p>7:15 – Watson Machine Learning for DSX</p> <p>7:45 - Q&amp;A and wrap up</p> ","10800000","1486743974000","22322122","open","55.68000030517578","12.569999694824219","Big Data Developers in Copenhagen","Big-Data-Developers-in-Copenhagen","Members","","240175651","https://www.meetup.com/Big-Data-Developers-in-Copenhagen/events/240175651/","","Exploring Data Science Experience","PT113H15M","35","upcoming","1496761200000","1495460705000","7200000","Prøvensvej 1","Brøndby","dk","25256241","55.671146392822266","Denmark","12.442706108093262","IBM Copenhagen Office","False","","","public","0","35"
